objectid,filename,title,format,description,subject,location,latitude,longitude,date,source,medium,artist,COLLECTOR,CREATOR,scientific_name,population_estimate,project
Thales,thales.jpg,Thales,image/jpg,An artistic depiction of Thales,Thales; Greek,,,,,,,,,,,,Alex Math
Pythagoras,pythagoras.jpg,Pythagoras,image/jpg,An artistic depiction of Pythagoras,Pythagoras; Greek,,,,,,,,,,,,Alex Math
Zeno,zeno.jpg,Zeno of Elea,image/jpg,An artistic depiction of Zeno,Zeno; Greek,,,,,,,,,,,,Alex Math
Eudoxus,eudoxus.jpg,Eudoxus of Cnidus,image/jpg,An artistic depiction of Eudoxus,Eudoxus; Greek,,,,,,,,,,,,Alex Math
Plato,plato.jpg,Plato,image/jpg,An artistic depiction of Zeno,Plato; Greek,,,,,,,,,,,,Alex Math
Archimedes,archimedes.jpg,Archimedes,image/jpg,An artistic depiction of Archimedes,Archimedes; Greek; Math,,,,,,,,,,,,Alex Math
Aristotle,aristotle.jpg,Aristotle,image/jpg,An artistic depiction of Aristotle,Aristotle; Greek,,,,,,,,,,,,Alex Math
Democritus,democritus.jpg,Democritus,image/jpg,An artisitc depiction of Democritus,Democritus; Greek,,,,,,,,,,,,Alex Math
Various_Geometries,different_geometries.png,Various Geometries,image/png,A depiction of several different geometries and how figures are affected by the plane they lie on,Geometry; Math,,,,,,,,,,,,Alex Math
Eratosthenes,eratosthenes.png,Eratosthenes,image/png,An artistic depiction of Eratosthenes,Eratosthenes; Greek,,,,,,,,,,,,Alex Math
Euclid,euclid.jpg,Euclid,image/jpg,An artistic depiction of Euclid,Euclid; Greek,,,,,,,,,,,,Alex Math
Hipparchus,hipparchus.jpg,Hipparchus,image/jpg,An artistic depiction of Hipparchus,Hipparchus; Greek,,,,,,,,,,,,Alex Math
Pythagorean_Theorem,pythagorean_theorem.png,Pythagorean Theorem,image/png,A depiction of how the Pythagorean theorem is applied to triangles,Pythagoras; Greek; Math; Geometry; Triangle,,,,,,,,,,,,Alex Math
sqrt(2) Proof,sqrt2_irrational.jpg,Proof sqrt(2) is Irrational,image/jpg,A proof by contradiction that the sqrt(2) is an irrational number,Proof; Irrational; Math; Pythagoras,,,,,,,,,,,,Alex Math
Achilles_Tortoise,achilles_tortoise.jpg,Achilles Tortoise,image/jpg,A depiction of one of Zeno's paradoxes where achilles can only close half of the distance between himself and a tortoise,Achilles; paradox; math; Archimedes,,,,,,,,,,,,Alex Math
Archimedes_Circle,archimedes_circle.jpg,Archimedes Circle,image/jpg,A geometric depiction of how Archimedes calculated pi,Archimedes; Greek; Math; Pi; Geometry,,,,,,,,,,,,Alex Math
Archimedes_Principle,buoyancy.jpg,Archimedes Principle,image/jpg,"A depiction of how Archimedes Principle, also known as the principle of bouyancy, works.",Archimedes; Bouyancy; Principle,,,,,,,,,,,,Alex Math
Greek_Mathematicians,greek_mathematicians.jpg,Greek Mathematicians,image/jpg,A depiction of many of the great Greek mathematicians,Greek; Math,,,,,,,,,,,,Alex Math
Archimedes_Death,archimedes_death.jpg,Archimedes Death,image/jpg,A depiction of a Roman soldier murdering Archimedes for refusing to vacate his home,Archimedes; Roman; Geometry,,,,,,,,,,,,Alex Math
Intercept_Theorem,thales_intercept_theorem.png,Thales' Intercept Theorem,image/png,A geometric depiction of Thales' intercept theorem,Thales; Geometry,,,,,,,,,,,,Alex Math
p001,cape_cod_morning_1950.jpg,Cape Cod Morning,image/jpg,,Bar; Night,Cape Cod,-41.6,70.2,1950,,Acrylic,Edward Hopper,,,,,Taylor Paintings
p002,lighthouse_hill_1927.jpg,Lighthouse Hill,image/jpg,,Landscape; Morning; Day; Outdoors,Cape Cod,-41.6,70.2,1927,,Acrylic,Edward Hopper,,,,,Taylor Paintings
p003,nighthawk_1942.jpg,Nighthawk,image/jpg,,Outdoors; Somber; Evening,New York,-40.7,74,1942,,Oil,Edward Hopper,,,,,Taylor Paintings
p004,self_portrait_1930.jpg,Self Portrait,image/jpg,,Portrait; Indoors,New York,-40.7,74,1930,,Oil,Edward Hopper,,,,,Taylor Paintings
p005,room_in_new_york_1932.jpg,Room In New York,image/jpg,,Atmosphere; Indoors; Evening,Cape Cod,-41.6,70.2,1932,,Oil,Edward Hopper,,,,,Taylor Paintings
p006,morning_sun_1952.jpg,Morning Sun,image/jpg,,Morning; Day,New York,-40.7,74,1952,,Acrylic,Edward Hopper,,,,,Taylor Paintings
object01,IMG_1894.jpeg,Doofy,image/jpeg,First attempt at making a fabric body art doll in reminiscent in the style of vintage porcelain head art feet dolls,clay doll; doofy; cartoon; clay; sculpture,"Signal Hill, CA",33.79175,-118.15295,,,,,Shane Ralson,Shane Ralston,,,T Room
object02.1,IMG_1895.jpeg,3 faced doll - Sleepy,image/jpeg,"Found object, donated to you by close friend - Jeff Chandler ",vintage; doll; three faced doll,"Signal Hill, CA",33.79175,-118.15295,,,,,Shane Ralson,,,,T Room
object02.2,IMG_1896.jpeg,3 faced doll - Angry,image/jpeg,"Found object, donated to you by close friend - Jeff Chandler ",vintage; doll; three faced doll,"Signal Hill, CA",33.79175,-118.15295,,,,,Shane Ralson,,,,T Room
object02.3,IMG_1897.jpeg,3 faced doll - Sad,image/jpeg,"Found object, donated to you by close friend - Jeff Chandler ",vintage; doll; three faced doll,"Signal Hill, CA",33.79175,-118.15295,,,,,Shane Ralson,,,,T Room
object03,IMG_1898.jpeg,Socks elephant doll,image/jpeg,"Handed down by mother, purchased through a craft kit and made it ",handmade; vintage; doll; elephant; doll; socks,"Signal Hill, CA",33.79175,-118.15295,,,,,Shane Ralson,,,,T Room
object04,IMG_1899.jpeg,West African Traditional Tribal Mask,image/jpg,"Acquired at a Flee Market (Swap Meet), the red face and the horns are the key features of the mask",tribal; mask; african; tradition,"Signal Hill, CA",33.79175,-118.15295,,Link,,,Shane Ralson,,,,T Room
object05,IMG_1903.jpeg,Tiki God,image/jpeg,"Acquired at a vintage store in San Pedro - California, made out of a tiki tree carving wood called Monkey Pod",tiki; god; hawaii,"Signal Hill, CA",33.79175,-118.15295,,,,,Shane Ralson,Shane Ralston,,,T Room
object06,IMG_1919.jpeg,Butch’s Ceramic Bedside Kangaroo,image/jpeg,A movie prop in imitation of a scene in Pulp Fiction,movie; prop; kangaroo; pulp fiction; quentin tarantino,"Signal Hill, CA",33.79175,-118.15295,,,,,Shane Ralson,,,,T Room
object07,IMG_1906.jpeg,Baby with Ram's Horn,image/jpeg,Sculpture created by Shane Ralston,clay; doll; ram; horn,"Signal Hill, CA",33.79175,-118.15295,,,,,Shane Ralson,,,,T Room
object08,IMG_1913.jpeg,Terracotta Soldier,image/jpeg,Gifted by Amarjargal Dorjgotov,"terracotta; army; mausoleum; site; museum, ","Signal Hill, CA",33.79175,-118.15295,,,,,Shane Ralson,,,,T Room
object09,IMG_1915.jpeg,Matador Music Box,image/jpeg,"Acquired from eBay, bakelite and bronze ",music box; matador; mexico; souvenir,"Signal Hill, CA",33.79175,-118.15295,,,,,Shane Ralson,,,,T Room
object10.1,IMG_1916.jpeg,Cuba: I am Time Box - closed,image/jpeg,Cigar Box,cuba; I am Time; box,"Signal Hill, CA",33.79175,-118.15295,,,,,Shane Ralson,,,,T Room
object10.2,IMG_1917.jpeg,Cuba: I am Time Box - half open,image/jpeg,Cigar Box,cuba; I am Time; box,"Signal Hill, CA",33.79175,-118.15295,,,,,Shane Ralson,,,,T Room
